Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC410911;75004;2024-10-21;2025-01-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;20.48;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;ZONE_LIVRAISON;880535;268391;"{""coordinates"": [[[2.3504303298608353, 48.85833948152591], [2.3504559501414115, 48.858332561597344], [2.350403848578151, 48.8582494027813], [2.3503778806966205, 48.858256547448235], [2.3504303298608353, 48.85833948152591]]], ""type"": ""Polygon""}";48.85829438555906, 2.3504169346920794
EC410914;75013;2024-09-16;2025-01-17;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;44.39;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;880546;268394;"{""coordinates"": [[[2.3596243590678196, 48.83339577765138], [2.3594597689026524, 48.833177454901666], [2.3594632908099746, 48.83317155321431], [2.359444737731566, 48.833165761744645], [2.3594376589172925, 48.83318052385611], [2.359605663238537, 48.83340159809914], [2.3596243590678196, 48.83339577765138]]], ""type"": ""Polygon""}";48.8332832586106, 2.359527822289681
EC410972;75005;2024-09-16;2024-12-20;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.16;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;878840;267008;"{""coordinates"": [[[2.3437928720811874, 48.84585552621086], [2.343807537105813, 48.84586904039795], [2.343864766306898, 48.84584453642452], [2.343850444498977, 48.845831251664826], [2.3437928720811874, 48.84585552621086]]], ""type"": ""Polygon""}";48.8458501264046, 2.3438288118473554
EC411189;75018;2024-06-03;2025-01-10;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;77.02;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;;880763;268563;"{""coordinates"": [[[2.3536048721379568, 48.886598939297], [2.35364062807377, 48.886610971058815], [2.353967146442224, 48.88645062783092], [2.3539452564271, 48.88643411679234], [2.3536048721379568, 48.886598939297]]], ""type"": ""Polygon""}";48.88652471383717, 2.353787154467503
EC411303;75007;2024-09-16;2024-11-30;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;4.71;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;880826;268620;"{""coordinates"": [[[2.3278614457184696, 48.8584018318483], [2.327915280913008, 48.85838681735286], [2.3279094491773855, 48.858376849457755], [2.327856220922255, 48.85839352306681], [2.3278614457184696, 48.8584018318483]]], ""type"": ""Polygon""}";48.85838952531997, 2.3278863575827526
EC411382;75017;2024-10-28;2024-11-14;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.09;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;880844;268639;"{""coordinates"": [[[2.323851020424673, 48.89696395375877], [2.3239149000934836, 48.897044001428874], [2.323922550200009, 48.89703994641119], [2.323935235932164, 48.89703632991058], [2.323895039145596, 48.896983281370815], [2.323890926002871, 48.89697556355984], [2.3238732772300015, 48.89695729493976], [2.323851020424673, 48.89696395375877]]], ""type"": ""Polygon""}";48.89699933502486, 2.3238932941033763
EC411635;75020;2024-08-26;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;4.54;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;879881;267860;"{""coordinates"": [[[2.3976956341226865, 48.853126314641976], [2.3976892754516723, 48.85313913884043], [2.397728138021987, 48.85314786569237], [2.3977348632355833, 48.85313516384982], [2.3976956341226865, 48.853126314641976]]], ""type"": ""Polygon""}";48.85313710822231, 2.3977119739709223
EC411707;75004;2024-10-08;2025-06-30;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;6009.17;Aménagement de voirie (VdP*);EMPRISE_TROTTOIR;;881092;268849;"{""coordinates"": [[[2.3520378336787564, 48.85710944049719], [2.351919194969658, 48.85688293594393], [2.351841977260266, 48.85687705325867], [2.351583141579635, 48.85638203308125], [2.3516333463253165, 48.85634041153106], [2.351509370295267, 48.85609930618075], [2.3509557303323074, 48.85622562856227], [2.3509072268825237, 48.85613064935201], [2.3509906207462943, 48.856083743627636], [2.3509578856924036, 48.85605260049744], [2.3508355539026677, 48.85612297489648], [2.3509919898878824, 48.85641707952225], [2.350958686058647, 48.856431470179224], [2.3511581751952915, 48.856815060512844], [2.351143853349525, 48.856856876426804], [2.3511516828577017, 48.85686721015527], [2.3514130286092896, 48.857382280396614], [2.351576379485157, 48.85734309419447], [2.3515059062162385, 48.857238888559074], [2.3520378336787564, 48.85710944049719]]], ""type"": ""Polygon""}";48.85670299890277, 2.3514275694310878
EC411852;75007;2024-10-21;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;74.75;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;881185;268939;"{""coordinates"": [[[2.3113113972578687, 48.847357264692455], [2.311328598165106, 48.84736100702395], [2.311348472728618, 48.84737113942458], [2.311513872607249, 48.84746407726124], [2.3115796484719247, 48.84749906322892], [2.3116280635067836, 48.847503212660904], [2.3115897983900844, 48.847474987240986], [2.3115124360860926, 48.84742923218844], [2.311412777432304, 48.84737378673537], [2.3113383763650135, 48.84733897766209], [2.3113021305330506, 48.84734059022932], [2.3113113972578687, 48.847357264692455]]], ""type"": ""Polygon""}";48.84741910554562, 2.311462415637759
EC411944;75016;2024-10-14;2024-12-14;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;123.88;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;;881244;268995;"{""coordinates"": [[[2.2769887682098218, 48.853436403093006], [2.276968549864355, 48.853401559284045], [2.276783901474903, 48.85328147765541], [2.2767006508993655, 48.853251374657376], [2.2767078284168747, 48.85329354053208], [2.2768188159307754, 48.85337617827572], [2.276907106847716, 48.853415987873674], [2.2769887682098218, 48.853436403093006]]], ""type"": ""Polygon""}";48.85334630350239, 2.276834423516794
EC412588;75014;2024-09-30;2025-03-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;34.19;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;881715;269390;"{""coordinates"": [[[2.3211237730468253, 48.833001819277854], [2.321105976881451, 48.833008633545965], [2.321248363787287, 48.83318304046119], [2.3212669457343353, 48.83317551832841], [2.3211237730468253, 48.833001819277854]]], ""type"": ""Polygon""}";48.833093077379246, 2.3211869377319396
EC412617;75010;2024-09-23;2024-11-29;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;21.52;Travaux sur réseau d'assainissement (VdP*);EMPRISE_CHAUSSEE;;881757;269427;"{""coordinates"": [[[2.3666298271028703, 48.88265433820262], [2.3664930442750993, 48.88271736432131], [2.366517743523221, 48.88273024479277], [2.3666407511773473, 48.882664413614535], [2.3666298271028703, 48.88265433820262]]], ""type"": ""Polygon""}";48.88269409845287, 2.3665651447914837
EC412619;75010;2024-09-23;2024-11-29;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;3.73;Travaux sur réseau d'assainissement (VdP*);EMPRISE_TROTTOIR;;881757;269427;"{""coordinates"": [[[2.366897636709936, 48.88241942548134], [2.366921916214472, 48.88243845146509], [2.3669347962272362, 48.882429639598975], [2.3669153324202425, 48.88241200516298], [2.366897636709936, 48.88241942548134]]], ""type"": ""Polygon""}";48.882424776603145, 2.3669170221066835
EC412717;75001;2024-10-28;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;88.0;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;ZONE_LIVRAISON;881805;269471;"{""coordinates"": [[[2.3417798091432345, 48.85887074637241], [2.34174176170241, 48.858877936044365], [2.341850662760039, 48.859134678959485], [2.3418912625873447, 48.859130348834114], [2.3417798091432345, 48.85887074637241]]], ""type"": ""Polygon""}";48.85900410779983, 2.34181620539059
EC412870;75014;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;1.11;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;881930;269582;"{""coordinates"": [[[2.3097318467426766, 48.825413034897274], [2.309736082172908, 48.825418751523074], [2.309755122269651, 48.82541316924422], [2.3097508906121016, 48.82540716753726], [2.3097318467426766, 48.825413034897274]]], ""type"": ""Polygon""}";48.825413007388114, 2.3097435454337836
EC412889;75017;2024-10-07;2024-11-04;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.11;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;881936;269588;"{""coordinates"": [[[2.319274422868357, 48.89382857757885], [2.3192807491632994, 48.89383772099432], [2.3192932305246363, 48.89383384481043], [2.3192869002541063, 48.89382500534449], [2.319274422868357, 48.89382857757885]]], ""type"": ""Polygon""}";48.89383130663045, 2.3192838043731268
EC413051;75010;2024-10-28;2024-11-26;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;5.29;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;882035;269684;"{""coordinates"": [[[2.3494460844018774, 48.872181106708624], [2.3493784663998225, 48.872190857652825], [2.3493814136375493, 48.87220048670443], [2.3494475043222462, 48.87219022113011], [2.3494460844018774, 48.872181106708624]]], ""type"": ""Polygon""}";48.87219071607896, 2.3494129365291734
EC413099;75002;2024-09-17;2024-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;139.74;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;882073;269715;"{""coordinates"": [[[2.342974948535379, 48.868360627272686], [2.342984223397605, 48.86837775400137], [2.343397417562375, 48.86828917705676], [2.343406260121865, 48.8682721497492], [2.343366466883689, 48.86825303356041], [2.343016247772428, 48.86832875104326], [2.342974948535379, 48.868360627272686]]], ""type"": ""Polygon""}";48.8683128949574, 2.3431906559465956
EC413261;75016;2024-09-06;2024-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;1.78;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;882186;269807;"{""coordinates"": [[[2.278290500748998, 48.86360083695303], [2.2782988549378635, 48.86359565130012], [2.2782758806282466, 48.86358503889189], [2.278268187729627, 48.86359227815629], [2.278290500748998, 48.86360083695303]]], ""type"": ""Polygon""}";48.863593254899634, 2.278283070964853
EC413747;75016;2024-09-09;2024-10-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;22.19;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;882651;270197;"{""coordinates"": [[[2.2539453971340286, 48.852046090744544], [2.2539426961206277, 48.85202057331501], [2.25390732218598, 48.85196368376681], [2.253880180096356, 48.85197444359657], [2.2539208005993236, 48.852050390129826], [2.2539453971340286, 48.852046090744544]]], ""type"": ""Polygon""}";48.852007713593245, 2.2539155242406155
EC414130;75018;2024-09-16;2025-01-17;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.01;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;882932;270406;"{""coordinates"": [[[2.3416233023786797, 48.89024407938139], [2.3415990942589726, 48.89024713348333], [2.3416137333678533, 48.8902909283517], [2.34163794014332, 48.89028787423944], [2.3416233023786797, 48.89024407938139]]], ""type"": ""Polygon""}";48.890267503671005, 2.341618517464423
EC414278;75016;2024-09-23;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;62.22;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;883040;270490;"{""coordinates"": [[[2.289028687296968, 48.86667284363159], [2.2890176026163678, 48.86666029301894], [2.2885414443360808, 48.86683481874446], [2.288551126128129, 48.86684667575653], [2.289028687296968, 48.86667284363159]]], ""type"": ""Polygon""}";48.866752564783035, 2.288787712222513
EC414456;75006;2024-10-15;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;16.39;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;883192;270614;"{""coordinates"": [[[2.3418624750112182, 48.8542491172486], [2.3418656084876566, 48.854263341579184], [2.342002129116509, 48.85425024953698], [2.3419990015658305, 48.85423566100419], [2.3418624750112182, 48.8542491172486]]], ""type"": ""Polygon""}";48.85424956426683, 2.341932584605237
EC414463;75001;2024-10-14;2024-11-18;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;306.78;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;;883226;270633;"{""coordinates"": [[[2.329419540736718, 48.86720122888021], [2.3294572689792474, 48.86735881388187], [2.329583792790528, 48.86748192434858], [2.329750033864017, 48.86760817096235], [2.329833960062121, 48.86760864091723], [2.329419540736718, 48.86720122888021]]], ""type"": ""Polygon""}";48.8674326329638, 2.329602304899805
EC414671;75001;2024-09-30;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;64.45;;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;883377;270762;"{""coordinates"": [[[2.330569397314096, 48.86501930362147], [2.330437085952233, 48.86481213107976], [2.3304212040289998, 48.86485454354625], [2.3305355391762297, 48.86502822191498], [2.330569397314096, 48.86501930362147]]], ""type"": ""Polygon""}";48.86492677872053, 2.3304902259129623
EC414672;75001;2024-09-30;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;159.01;;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,STATIONNEMENT_PAYANT;883377;270762;"{""coordinates"": [[[2.3306117073924013, 48.865086630611096], [2.3305901443974126, 48.865153296362436], [2.3307652827358165, 48.8654295189143], [2.3308177141970585, 48.86540754967356], [2.3306117073924013, 48.865086630611096]]], ""type"": ""Polygon""}";48.865269567985, 2.3306972592210786
EC415009;75017;2024-10-21;2024-11-12;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;9.48;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;;883577;270928;"{""coordinates"": [[[2.2880657128688333, 48.88022392449671], [2.288074553759298, 48.88020849496307], [2.28802830691164, 48.8801824916695], [2.2880016251546524, 48.8801898469595], [2.2880657128688333, 48.88022392449671]]], ""type"": ""Polygon""}";48.880201277746146, 2.288041750042933
EC415064;75008;2024-09-30;2024-11-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;24.92;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;883576;270927;"{""coordinates"": [[[2.3195231176083126, 48.877215418404525], [2.3195499659406575, 48.87732175129735], [2.3195769914430184, 48.87731914214498], [2.319552203078794, 48.877212615019026], [2.3195231176083126, 48.877215418404525]]], ""type"": ""Polygon""}";48.877266580844264, 2.3195504115274295
EC415186;75016;2024-10-14;2024-12-09;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;56.25;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT,ZONE_LIVRAISON;883697;271034;"{""coordinates"": [[[2.2852612463264963, 48.870274003961114], [2.285294397261122, 48.87014973502927], [2.2852346543785536, 48.87014381312505], [2.285211876330534, 48.87023879740593], [2.285236753472555, 48.8702703151761], [2.2852612463264963, 48.870274003961114]]], ""type"": ""Polygon""}";48.8702045478843, 2.285251158625078
EC415405;75001;2024-10-07;2025-03-21;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;14.14;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;883855;271158;"{""coordinates"": [[[2.343766931670262, 48.86006573371903], [2.3438521848998213, 48.8600366027105], [2.343842045638559, 48.86001969870931], [2.3437547049363165, 48.860050184375105], [2.343766931670262, 48.86006573371903]]], ""type"": ""Polygon""}";48.86004293829735, 2.343804167248384
EC415455;75001;2024-10-07;2024-11-01;Opérateurs de réseau (gaz-électricité-RATP-etc);FRAICHEUR DE PARIS;13.18;;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;883883;271183;"{""coordinates"": [[[2.334930859266827, 48.86406488975835], [2.3349576599906747, 48.86406807398438], [2.334983571764637, 48.86402065781482], [2.3349545749742475, 48.864009365471304], [2.334930859266827, 48.86406488975835]]], ""type"": ""Polygon""}";48.86403983399519, 2.3349567660353356
EC415485;75013;2024-10-25;2025-01-24;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;21.21;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;883882;271182;"{""coordinates"": [[[2.3531254153425354, 48.829794976518684], [2.3533572849376814, 48.82986886285724], [2.3533639356799565, 48.8298609294757], [2.3531327821463757, 48.829784997351986], [2.3531254153425354, 48.829794976518684]]], ""type"": ""Polygon""}";48.82982617262111, 2.353240941637875
EC415486;75011;2024-10-28;2024-10-31;Opérateurs de réseau (gaz-électricité-RATP-etc);EAU DE PARIS;17.26;Travaux sur réseau d'eau;EMPRISE_CHAUSSEE;;883886;271184;"{""coordinates"": [[[2.377372023817108, 48.8585670490521], [2.3773203493973676, 48.85861778126144], [2.3773505718763897, 48.85862977752537], [2.377402289801032, 48.858575403173596], [2.377372023817108, 48.8585670490521]]], ""type"": ""Polygon""}";48.858597932140135, 2.3773610617109555
EC415490;75020;2024-09-16;2024-11-01;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;19.36;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;883892;271187;"{""coordinates"": [[[2.4079274273621127, 48.87278889762892], [2.4081654947618447, 48.87285731626273], [2.4081708821927186, 48.87284884330364], [2.407933044863152, 48.87278057690578], [2.4079274273621127, 48.87278889762892]]], ""type"": ""Polygon""}";48.872818958522025, 2.408049382994714
EC415578;75009;2024-10-01;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;37.96;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;883240;270644;"{""coordinates"": [[[2.3352263233321646, 48.87558616656799], [2.335251043355642, 48.87576480520442], [2.3352768352027886, 48.87576332961933], [2.335252120256545, 48.87558428631487], [2.3352263233321646, 48.87558616656799]]], ""type"": ""Polygon""}";48.87567461167945, 2.3352515805251257
EC415690;75006;2024-10-01;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.14;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;884039;271327;"{""coordinates"": [[[2.3400356396657487, 48.84968529801894], [2.340010041270067, 48.84974150068734], [2.3400300015259377, 48.84974548162713], [2.3400562475064848, 48.84968893267656], [2.3400356396657487, 48.84968529801894]]], ""type"": ""Polygon""}";48.84971520155497, 2.340033043281348
EC416053;75007;2024-10-15;2024-11-29;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;4.09;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;884286;271528;"{""coordinates"": [[[2.3147370054238037, 48.8600626274297], [2.3147804753599033, 48.860063332314276], [2.3147799400658218, 48.86005148928063], [2.3147371551453513, 48.860051244289814], [2.3147370054238037, 48.8600626274297]]], ""type"": ""Polygon""}";48.860057190073384, 2.314758784267438
EC416088;75012;2024-10-07;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;25.42;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;884317;271552;"{""coordinates"": [[[2.3955398006170596, 48.84720729394486], [2.3955609048779074, 48.847205376121174], [2.3955339625096324, 48.84708279642865], [2.3955101724134678, 48.84708495339585], [2.3955348160209957, 48.847207521479596], [2.3955398006170596, 48.84720729394486]]], ""type"": ""Polygon""}";48.84714613160973, 2.3955351694778084
EC416099;75004;2024-09-23;2025-03-31;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);4.01;Travaux sur édifice public (VdP*);EMPRISE_TROTTOIR;;884305;271554;"{""coordinates"": [[[2.354607802038133, 48.85575932279291], [2.354581643458881, 48.85575417321305], [2.3545738382365324, 48.85577143463841], [2.354599998175279, 48.85577658512657], [2.354607802038133, 48.85575932279291]]], ""type"": ""Polygon""}";48.855765379046744, 2.354590820511085
EC416210;75008;2024-10-29;2024-11-28;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;0.67;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;884415;271632;"{""coordinates"": [[[2.3189566925646248, 48.88052330336772], [2.3189642687232985, 48.88051869960241], [2.3189601270551297, 48.88051217115262], [2.3189506977200436, 48.88051490545029], [2.3189566925646248, 48.88052330336772]]], ""type"": ""Polygon""}";48.88051732144675, 2.318957728115492
EC416227;75014;2024-10-21;2024-11-01;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.83;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;884425;271643;"{""coordinates"": [[[2.316727776543817, 48.83262744398696], [2.316706187977929, 48.83261684654544], [2.3166139243328323, 48.83268303226798], [2.316635855925936, 48.83269385922695], [2.316727776543817, 48.83262744398696]]], ""type"": ""Polygon""}";48.8326553957923, 2.316670798556245
EC416349;75011;2024-10-07;2025-02-07;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;24.45;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;884521;271723;"{""coordinates"": [[[2.3711176132058296, 48.8696781583412], [2.371136522725054, 48.86968417714039], [2.371231966280257, 48.86955421776705], [2.37121340029869, 48.86954842831949], [2.3711176132058296, 48.8696781583412]]], ""type"": ""Polygon""}";48.869616485944995, 2.37117469994492
EC416450;75008;2024-10-04;2024-11-22;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;8.01;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;884617;271794;"{""coordinates"": [[[2.3234083798907545, 48.86890119487023], [2.3233867184826926, 48.86886828683675], [2.3233604085582247, 48.86887451265394], [2.323383449455873, 48.8689074293897], [2.3234083798907545, 48.86890119487023]]], ""type"": ""Polygon""}";48.8688877343938, 2.3233846342297038
EC416530;75018;2024-10-12;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.24;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;ZONE_LIVRAISON;884239;271489;"{""coordinates"": [[[2.3275854968641108, 48.88686497794104], [2.3276590093429044, 48.88681876235213], [2.3276370005207236, 48.88681208175752], [2.327570138778874, 48.88685651354306], [2.3275854968641108, 48.88686497794104]]], ""type"": ""Polygon""}";48.88683763927185, 2.3276137537892585
EC416584;75017;2024-10-07;2025-01-10;Tiers (travaux sur bâtiment);PERSONNE PHYSIQUE;10.06;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;884706;271865;"{""coordinates"": [[[2.2948945039856166, 48.88348915520914], [2.294842425324499, 48.88345993307412], [2.2948246357635864, 48.88347348919366], [2.294875678153744, 48.88350270433366], [2.2948945039856166, 48.88348915520914]]], ""type"": ""Polygon""}";48.88348136652554, 2.2948594325292877
EC416607;75017;2024-10-09;2025-01-07;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;22.61;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;884720;271874;"{""coordinates"": [[[2.321485832605632, 48.88958205189536], [2.321501141510019, 48.8895730311556], [2.321365042225535, 48.889472082020056], [2.321349733327148, 48.88948110274323], [2.321485832605632, 48.88958205189536]]], ""type"": ""Polygon""}";48.88952706696231, 2.3214254374286996
EC416632;75014;2024-10-14;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;11.25;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;884291;271536;"{""coordinates"": [[[2.3305453575570816, 48.83868296721314], [2.330568074584241, 48.838686736787686], [2.3305922002606234, 48.83863450431859], [2.330565344396423, 48.838630710686346], [2.3305453575570816, 48.83868296721314]]], ""type"": ""Polygon""}";48.838658048527286, 2.330568055808493
EC416948;75001;2024-10-14;2024-11-01;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;11.83;Aménagement de voirie (VdP*);EMPRISE_TROTTOIR;;884923;272044;"{""coordinates"": [[[2.3501413596714738, 48.86247410974155], [2.3500658975134927, 48.862492825451426], [2.350073968887859, 48.862509717643896], [2.3501508117796495, 48.862491009426634], [2.3501413596714738, 48.86247410974155]]], ""type"": ""Polygon""}";48.86249190975969, 2.35010813669465
EC417030;75010;2024-10-28;2025-01-10;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.23;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;884542;271736;"{""coordinates"": [[[2.352225978757449, 48.87510462536353], [2.352288948146597, 48.875092671272775], [2.3522829280039823, 48.875077156626986], [2.352210271384542, 48.87509087944835], [2.352225978757449, 48.87510462536353]]], ""type"": ""Polygon""}";48.87509116396272, 2.3522518807108157
EC417033;75016;2024-09-30;2024-11-22;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;43.7;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;884968;272083;"{""coordinates"": [[[2.2784748625557274, 48.87522444552343], [2.2784899628623037, 48.87518082125865], [2.2784938646012707, 48.87512346936667], [2.278401257245691, 48.8751556976183], [2.2784715568696607, 48.875238769224886], [2.2784748625557274, 48.87522444552343]]], ""type"": ""Polygon""}";48.87517301092083, 2.27845769214345
EC417150;75018;2024-10-14;2025-02-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;4.56;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;885086;272177;"{""coordinates"": [[[2.3334096612387647, 48.890625075416345], [2.3333725315926968, 48.8906125749407], [2.333361680412284, 48.890624125718425], [2.333398467942183, 48.890636397662796], [2.3334096612387647, 48.890625075416345]]], ""type"": ""Polygon""}";48.89062452470488, 2.3333855726807853
EC417362;75020;2024-09-20;2024-11-22;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;10.85;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;885253;272308;"{""coordinates"": [[[2.3958929774636517, 48.86801927618381], [2.3959067345013048, 48.86802344390168], [2.3959627789749374, 48.86795223478126], [2.3959469685417374, 48.867946690611944], [2.3958929774636517, 48.86801927618381]]], ""type"": ""Polygon""}";48.867984402052784, 2.395928125198106
EC417392;75009;2024-10-17;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;112.02;Travaux sur réseau de chauffage urbain;EMPRISE_TROTTOIR;;885272;272324;"{""coordinates"": [[[2.3368814386914405, 48.871560320788404], [2.337105303948112, 48.87159798946372], [2.3371146070147093, 48.87157208601975], [2.3370965034324227, 48.871530092683784], [2.3369436117767632, 48.871502378950915], [2.3369033344274794, 48.871521281205666], [2.3368814386914405, 48.871560320788404]]], ""type"": ""Polygon""}";48.871549177962926, 2.337004428552277
EC417591;75004;2024-10-17;2024-11-18;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;3.42;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;885417;272441;"{""coordinates"": [[[2.352374216440183, 48.85951389417914], [2.352386577680542, 48.85951881845807], [2.3524016470304425, 48.85949097073129], [2.3523874269910636, 48.859487554495274], [2.352374216440183, 48.85951389417914]]], ""type"": ""Polygon""}";48.85950267606429, 2.352387622145506
