Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC305532;75001;2023-01-09;2025-03-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;592.14;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;AUTRE,DEUX_ROUES,STATIONNEMENT_PAYANT;737967;201873;"{""coordinates"": [[[2.328617432053584, 48.86648274477579], [2.3286923263362027, 48.866474353090304], [2.3282956555941388, 48.866072773120365], [2.3282352451335493, 48.866096532033154], [2.328181072940761, 48.866158947434734], [2.328519474095458, 48.866489321647485], [2.328617432053584, 48.86648274477579]]], ""type"": ""Polygon""}";48.866293223451976, 2.3284195268523824
EC309273;75020;2022-11-21;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;74.41;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;756220;204365;"{""coordinates"": [[[2.40826943276575, 48.85274789264223], [2.408509569280266, 48.85277811995649], [2.4085254940983205, 48.85274016070162], [2.4082983361694694, 48.852713270331336], [2.40826943276575, 48.85274789264223]]], ""type"": ""Polygon""}";48.852745148651, 2.408401469567125
EC316023;75018;2023-01-02;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;89.41;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES;786411;208708;"{""coordinates"": [[[2.3409782113343844, 48.89222686948854], [2.341045359656333, 48.89219574381819], [2.3409085049827585, 48.892096331287], [2.340841908195599, 48.8921293574913], [2.3409782113343844, 48.89222686948854]]], ""type"": ""Polygon""}";48.89216188662874, 2.340943356563925
EC322752;75015;2023-03-30;2025-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;441.6;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;811445;212863;"{""coordinates"": [[[2.2811140633881033, 48.84850829336293], [2.281123328813153, 48.84843685583349], [2.2812380087194777, 48.848376524740424], [2.2816716123340073, 48.84820517643819], [2.281608207946376, 48.8481496952474], [2.2809705661209447, 48.848406793931744], [2.2811140633881033, 48.84850829336293]]], ""type"": ""Polygon""}";48.84831495996854, 2.2813077615214103
EC322770;75018;2024-10-28;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;20.46;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;811459;212876;"{""coordinates"": [[[2.343719076104558, 48.89662709747827], [2.3437719026231494, 48.8967098050741], [2.343796859770989, 48.89670220138608], [2.3437447304577073, 48.89661904166651], [2.343719076104558, 48.89662709747827]]], ""type"": ""Polygon""}";48.896664310270474, 2.3437580051615905
EC324458;75016;2023-03-31;2025-07-07;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;115.54;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;812785;213950;"{""coordinates"": [[[2.2836979111434323, 48.87703156239666], [2.283762194200976, 48.87709606196336], [2.2838980919774117, 48.877053524027694], [2.2838769291907606, 48.87702607544318], [2.283918568537234, 48.877010296467546], [2.283888172905623, 48.8769714996256], [2.2836979111434323, 48.87703156239666]]], ""type"": ""Polygon""}";48.87703460814531, 2.2838128493648506
EC325700;75020;2023-02-24;2026-12-31;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;145.3;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;813787;214722;"{""coordinates"": [[[2.4100067917274224, 48.87069609434427], [2.4104504297118647, 48.870714444892016], [2.4104288170156263, 48.87067244563831], [2.4100086407056716, 48.870654779034176], [2.4100067917274224, 48.87069609434427]]], ""type"": ""Polygon""}";48.870684619408166, 2.410223457837496
EC325879;75006;2023-03-20;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.01;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;813918;214827;"{""coordinates"": [[[2.3369530961936134, 48.85524746091078], [2.336884668545828, 48.85524708172248], [2.3368844367525594, 48.855265295048504], [2.336952871668129, 48.85526510498618], [2.3369530961936134, 48.85524746091078]]], ""type"": ""Polygon""}";48.8552562354173, 2.3369185872276774
EC326346;75018;2023-04-24;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;66.4;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;ZONE_LIVRAISON;814286;215090;"{""coordinates"": [[[2.360757266592131, 48.88547205611721], [2.360709293787783, 48.88533018476862], [2.360653269500873, 48.88533808208614], [2.3607040034428994, 48.88547996819987], [2.360757266592131, 48.88547205611721]]], ""type"": ""Polygon""}";48.8854045068787, 2.360705748180725
EC326681;75015;2023-05-30;2024-12-27;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;205.72;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;814553;215302;"{""coordinates"": [[[2.3058209541184165, 48.83769686065988], [2.3059296077138947, 48.837722536851075], [2.3060488976192777, 48.83751922015915], [2.305940250460108, 48.83749308812569], [2.3058209541184165, 48.83769686065988]]], ""type"": ""Polygon""}";48.83760788648015, 2.305934930557459
